index,gain,offset
51,0.999984944651,0.0535647079761
52,0.999979935177,0.0730780380283
53,0.999976098934,0.0845674025056
54,0.999992122237,0.0227819443024
55,0.999973758289,0.102367988676
56,0.999972553617,0.0735096226567
57,0.999980227935,0.0815222004632
None,0.999978255001,0.073120827333
None,0.999980588236,0.07532518667
60,0.999980853116,0.0825757830366
61,0.999974696662,0.0736555377158
68,0.999977921887,0.0801247292931
63,0.999973646954,0.084651963249
65,0.999972366249,0.0748356363741
66,0.999975666493,0.103316832519
67,0.999983427647,0.0426599680042
69,0.999975073771,0.0739910261155
71,0.99997635716,0.0994680845311
72,0.999972066068,0.082960842673
73,0.999975733354,0.0913558186168
74,0.999977722973,0.0601625055969
76,0.999970725923,0.0691574266156
77,0.999974813184,0.0703427717785
78,0.999972283297,0.0901343956696
80,0.999980281898,0.0958164228665
81,0.999975245007,0.0947979123382
83,0.999974521733,0.0500985422323
84,0.999969087035,0.0894103203843
85,0.999972651819,0.0593985345797
86,0.999982539686,0.09614485922
87,0.999975618478,0.0593402819257
88,0.999967885123,0.117025208985
89,0.999974288226,0.0743586077438
90,0.999972557493,0.0824005293664
91,0.999971917422,0.10666680876
92,0.99997947554,0.0521986212027
93,0.999973598676,0.074190042689
94,0.999972335003,0.0913662655874
95,0.999961251021,0.0727023304604
96,0.999978911669,0.0770609837194
97,0.999961650697,0.0929534108364
98,0.999973340511,0.0706601026101
99,0.999961094584,0.10000767751
100,0.999969283021,0.101250570285
101,0.999965473098,0.0861860527915
102,0.99997527237,0.046058578659
103,0.999971147573,0.0705550252608
104,0.999966507236,0.0830662796711
105,0.999969908788,0.071183655854
106,0.999970790226,0.0881240546682
107,0.999982412993,0.0821183955495
108,0.999958757592,0.076056269289
109,0.999971583032,0.0795025044619
110,0.999970551713,0.079256511208
111,0.999970611361,0.0827779623249
112,0.999973633666,0.0671323583236
113,0.999967655618,0.0724160923177
114,0.999967585059,0.104203338491
115,0.999973193542,0.0681152533733
116,0.999967427525,0.0993507334633
117,0.999972164484,0.0505245765433
118,0.999977295893,0.0646407418112
119,0.999968879796,0.0448643594308
120,0.999966141508,0.087110127002
121,0.999970236123,0.0536712734175
122,0.999976383683,0.0585226920328
123,0.999976271298,0.0892847896461
124,0.999976410032,0.0861919388625
125,0.999976182571,0.0940194873906
127,0.999970719267,0.115222965808
128,0.999974845356,0.0712817915671
129,0.999967868713,0.100841739832
130,0.999968908785,0.0918865406921
131,0.999965795456,0.0905332525745
132,0.999963184452,0.0724864301224
133,0.99996836695,0.0896536195493
134,0.99997144659,0.113679974976
135,0.999967927416,0.0915112184278
136,0.999973907887,0.0647122869933
137,0.99996694991,0.0934788427625
138,0.999973336633,0.0579208303767
139,0.999972573792,0.0598914205022
140,0.999967613427,0.060711278302
141,0.999965298672,0.0813622733024
142,0.99996899104,0.09221431383
143,0.999969231655,0.0839391582485
144,0.999975259889,0.0728765750155
145,0.999974857261,0.0977630620125
146,0.999972097071,0.0938833318873
147,0.999974716582,0.106016988454
148,0.99996852108,0.0879477798576
149,0.999962192209,0.0754468069296
None,0.999961860374,0.0833751677326
None,0.999966977898,0.0681013523784
None,0.999960764191,0.0787267554573
None,0.999966019487,0.0813741473081
None,0.999960545086,0.0872707631629